"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","21210","Login success","","Mon Jan 26 09:15:38 UTC 2026","passed","Mon Jan 26 09:15:59 UTC 2026","","Login","Login success",""
"","11021","Login Locked","","Mon Jan 26 09:15:38 UTC 2026","passed","Mon Jan 26 09:15:49 UTC 2026","","Login","Login Locked",""
